2ci_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
;Bakı Dövlət Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;207.2;287.6;NO;;
;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;Azerbaijani;Ə;272.1;328.8;NO;;
;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;English;Ə;448.0;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (ərəb ölkələri üzrə);;Azerbaijani;Ə;180.3;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Türkiyə üzrə);;Azerbaijani;Ə;223.7;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (İran üzrə);;Azerbaijani;Ə;165.8;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Yaponiya üzrə);;Azerbaijani;Ə;157.5;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (İsrail üzrə);;Azerbaijani;Ə;187.2;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Pakistan üzrə);;Azerbaijani;Ə;170.4;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Koreya üzrə);;Azerbaijani;Ə;210.7;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;Azerbaijani;Ə;24.0;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Qafqaz üzrə);;Azerbaijani;Ə;185.0;;NO;;
;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;English;Ə;238.3;;NO;;
;Bakı Dövlət Universiteti;Sosiologiya;;Azerbaijani;Ə;200.0;235.3;NO;;
;Bakı Dövlət Universiteti;Sosiologiya;;English;Ə;200.0;;NO;;
;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;377.2;YES;84.7;
;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;244.8;;NO;;
;Bakı Dövlət Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;200.0;333.8;YES;66.9;
;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;253.6;385.4;NO;;
;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;90.5;
;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;400.7;;NO;;
;Bakı Dövlət Universiteti;Maliyyə;;Azerbaijani;Ə;289.7;546.2;NO;;
;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;200.0;342.8;YES;91.3;
;Bakı Dövlət Universiteti;Coğrafiya;;Azerbaijani;Ə;200.0;213.1;NO;;
;Bakı Dövlət Universiteti;Hidrometeorologiya;;Azerbaijani;Ə;200.0;200.6;NO;;
;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Ə;295.3;295.3;NO;;
;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Q;197.1;236.4;NO;;
;Bakı Dövlət Universiteti;Turizm işinin təşkili;;English;Ə;286.4;;NO;;
;Bakı Dövlət Universiteti;Tarix və coğrafiya müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Ə;150.0;;YES;75.8;77.0
;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Q;150.0;;YES;83.9;83.9
;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;375.1;YES;57.6;
;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;245.8;438.2;NO;;
;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;193.5;;NO;;
;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;English;Ə;435.5;;NO;;
;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;230.4;;NO;;
;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;395.3;;NO;;
;Bakı Dövlət Universiteti;Marketinq;;Azerbaijani;Ə;237.5;312.1;NO;;
;Bakı Dövlət Universiteti;Marketinq;;English;Ə;332.4;;NO;;
;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;200.0;341.5;YES;76.7;
;Bakı Dövlət Universiteti;Menecment;;English;Ə;356.6;;NO;;
;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;371.0;YES;51.0;
;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;222.1;;NO;;
