3cu_qrup-fix
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2025-2026;Bakı Dövlət Universiteti;Azərbaycan dili və ədəbiyyatı;;Azerbaijani;Ə;572.5;572.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Xüsusi pedaqogika;;Azerbaijani;Ə;458.4;458.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Tarix müəllimliyi;;Azerbaijani;Ə;515.6;515.6;NO;;
2025-2026;Bakı Dövlət Universiteti;Tarix müəllimliyi;;English;Ə;527.1;527.1;NO;;
2025-2026;Bakı Dövlət Universiteti;Təhsildə sosial-psixoloji xidmət;;Azerbaijani;Ə;481.7;481.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;Azerbaijani;Ə;407.6;481.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;Azerbaijani;Ə;499.7;499.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;Azerbaijani;Ə;537.5;609.0;NO;;
2025-2026;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;Azerbaijani;Ə;597.4;608.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Fəlsəfə;;Azerbaijani;Ə;380.5;422.1;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (ərəb dili və ədəbiyyatı);;Azerbaijani;Ə;335.9;;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (ərəb dili və ədəbiyyatı);;Azerbaijani;Ə;297.3;;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (türk dili və ədəbiyyatı);;Azerbaijani;Ə;384.3;;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;;451.1;498.2;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;Q;372.5;579.4;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (alman dili və ədəbiyyatı);;Azerbaijani;Ə;417.8;504.6;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (fransız dili və ədəbiyyatı);;Azerbaijani;Ə;360.9;651.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Filologiya (ingilis dili və ədəbiyyatı);;Azerbaijani;Ə;512.7;512.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Ə;621.7;621.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Q;566.2;;NO;;
2025-2026;Bakı Dövlət Universiteti;Hüquqşünaslıq;;English;Ə;664.5;664.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya;;Azerbaijani;Ə;334.2;412.0;NO;;
2025-2026;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya;;English;Ə;412.3;412.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Politologiya;;Azerbaijani;Ə;460.4;535.3;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Qafqaz ölkələri üzrə);;Azerbaijani;Ə;311.4;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;Azerbaijani;Ə;363.0;408.5;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (ərəb ölkələri üzrə);;Azerbaijani;Ə;285.3;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (İran üzrə);;Azerbaijani;Ə;249.2;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Türkiyə üzrə);;Azerbaijani;Ə;327.4;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (İsrail üzrə);;Azerbaijani;Ə;298.0;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Pakistan üzrə);;Azerbaijani;Ə;270.7;;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Koreya üzrə);;Azerbaijani;Ə;350.4;408.8;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Yaponiya üzrə);;Azerbaijani;Ə;342.0;412.2;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq (Qafqaz ölkələri üzrə);;English;Ə;267.4;410.1;NO;;
2025-2026;Bakı Dövlət Universiteti;Regionşünaslıq;;Azerbaijani;Ə;407.7;407.7;NO;;
2025-2026;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Ə;475.3;520.9;NO;;
2025-2026;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Q;397.1;530.4;NO;;
