4cu_qrup
year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2024-2025;Bakı Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;389.3;389.3;NO;;
2024-2025;Bakı Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;415.8;416.3;NO;;
2024-2025;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;497.9;497.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Psixologiya;;Azerbaijani;Q;376.1;469.4;NO;;
2024-2025;Bakı Dövlət Universiteti;Psixologiya;;English;Ə;551.9;551.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;468.1;468.1;NO;;
2024-2025;Bakı Dövlət Universiteti;Biologiya;;Azerbaijani;Q;307.7;318.5;NO;;
2024-2025;Bakı Dövlət Universiteti;Biologiya;;English;Ə;492.6;492.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Biotexnologiya;;Azerbaijani;Ə;472.1;504.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Biotexnologiya;;English;Ə;532.7;532.7;NO;;
2024-2025;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Ə;293.5;295.4;NO;;
2024-2025;Bakı Dövlət Universiteti;Ekologiya;;Azerbaijani;Q;224.5;254.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Ekologiya;;English;Ə;351.9;351.9;NO;;
2024-2025;Bakı Dövlət Universiteti;Kimya;;Azerbaijani;Ə;452.7;452.7;NO;;
2024-2025;Bakı Dövlət Universiteti;Kimya;;English;Ə;522.1;522.1;NO;;
2024-2025;Bakı Dövlət Universiteti;Bitki mühafizəsi;;Azerbaijani;Ə;252.6;252.6;NO;;
2024-2025;Bakı Dövlət Universiteti;Su bioehtiyatları və akvakultura;;Azerbaijani;Ə;249.3;249.3;NO;;
2024-2025;Bakı Dövlət Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;200.0;442.5;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Əczaçılıq;;Azerbaijani;Ə;540.5;540.5;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Fizioterapiya və tibbi reabilitasiya;;Azerbaijani;Ə;573.8;582.2;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Tibb bacısı işi;;Azerbaijani;Ə;501.4;501.8;NO;;
2024-2025;Azərbaycan Tibb Universiteti;İctimai səhiyyə;;Azerbaijani;Ə;563.2;563.2;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Stomatologiya;;Azerbaijani;Ə;589.4;589.4;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Tibb;;Azerbaijani;Ə;605.1;605.1;NO;;
2024-2025;Azərbaycan Tibb Universiteti;Tibb;;English;Ə;681.4;681.4;NO;;
2024-2025;Azərbaycan Dövlət Pedaqoji Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;200.0;345.3;NO;;
2024-2025;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;200.0;362.1;NO;;
2024-2025;Azərbaycan Dövlət Pedaqoji Universiteti;Kimya və biologiya müəllimliyi;;Azerbaijani;Ə;370.5;370.5;NO;;
2024-2025;Azərbaycan Dövlət İqtisad Universiteti;Ekologiya;;Azerbaijani;Ə;273.9;278.4;NO;;
2024-2025;Azərbaycan Dövlət İqtisad Universiteti;Ekologiya;;Azerbaijani;Q;211.6;;NO;;
2024-2025;Bakı Slavyan Universiteti;Psixologiya;;Azerbaijani;Ə;440.1;453.2;NO;;
2024-2025;Bakı Slavyan Universiteti;Psixologiya;;Azerbaijani;Q;200.0;;NO;;
2024-2025;Bakı Mühəndislik Universiteti;Biotexnologiya;;Azerbaijani;Ə;369.5;504.8;NO;;
2024-2025;Bakı Mühəndislik Universiteti;Kimya;;English;Ə;442.8;442.8;NO;;
2024-2025;Azərbaycan İdman Akademiyası;Bədən tərbiyəsi və idmanda;;Azerbaijani;Ə;364.2;398.0;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Biologiya müəllimliyi;;Azerbaijani;Ə;200.0;404.0;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Kimya müəllimliyi;;Azerbaijani;Ə;264.0;365.2;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Psixologiya;;Azerbaijani;Ə;394.0;459.4;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Biologiya;;Azerbaijani;Ə;322.4;322.4;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Biologiya;;Azerbaijani;Q;200.0;;YES;92.2;
2024-2025;Naxçıvan Dövlət Universiteti;Kimya;;Azerbaijani;Ə;200.0;414.5;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Baytarlıq təbabəti;;Azerbaijani;Ə;150.0;227.5;YES;;
2024-2025;Naxçıvan Dövlət Universiteti;Əczaçılıq;;Azerbaijani;Ə;507.3;507.3;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Tibb bacısı işi;;Azerbaijani;Ə;392.1;503.3;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;İctimai səhiyyə;;Azerbaijani;Ə;545.4;545.4;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Stomatologiya;;Azerbaijani;Ə;569.0;569.0;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Tibb;;Azerbaijani;Ə;573.4;577.4;NO;;
2024-2025;Naxçıvan Dövlət Universiteti;Tibb;;English;Ə;579.6;579.6;NO;;
2024-2025;Azərbaycan Dövlət Aqrar Universiteti (Gəncə şəhəri);Biotexnologiya;;Azerbaijani;Ə;200.0;;YES;89.4;
2024-2025;Azərbaycan Dövlət Aqrar Universiteti (Gəncə şəhəri);Ekologiya;;Azerbaijani;Ə;150.0;;YES;89.9;89.9
