year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2021-2022;Bakı Dövlət Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;207.2;287.6;NO;;
2021-2022;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;Azerbaijani;Ə;272.1;328.8;NO;;
2021-2022;Bakı Dövlət Universiteti;Beynəlxalq münasibətlər;;English;Ə;448.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (ərəb ölkələri üzrə);;Azerbaijani;Ə;180.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Türkiyə üzrə);;Azerbaijani;Ə;223.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (İran üzrə);;Azerbaijani;Ə;165.8;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Yaponiya üzrə);;Azerbaijani;Ə;157.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (İsrail üzrə);;Azerbaijani;Ə;187.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Pakistan üzrə);;Azerbaijani;Ə;170.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Koreya üzrə);;Azerbaijani;Ə;210.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;Azerbaijani;Ə;24.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Qafqaz üzrə);;Azerbaijani;Ə;185.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Regionşünaslıq (Amerika üzrə);;English;Ə;238.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosiologiya;;Azerbaijani;Ə;200.0;235.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosiologiya;;English;Ə;200.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;377.2;YES;84.7;
2021-2022;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;244.8;;NO;;
2021-2022;Bakı Dövlət Universiteti;Davamlı inkişafın idarə edilməsi;;Azerbaijani;Ə;200.0;333.8;YES;66.9;
2021-2022;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;253.6;385.4;NO;;
2021-2022;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;90.5;
2021-2022;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;400.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Maliyyə;;Azerbaijani;Ə;289.7;546.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;200.0;342.8;YES;91.3;
2021-2022;Bakı Dövlət Universiteti;Coğrafiya;;Azerbaijani;Ə;200.0;213.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Hidrometeorologiya;;Azerbaijani;Ə;200.0;200.6;NO;;
2021-2022;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Ə;295.3;295.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Turizm işinin təşkili;;Azerbaijani;Q;197.1;236.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Turizm işinin təşkili;;English;Ə;286.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix və coğrafiya müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Ə;150.0;;YES;75.8;77.0
2021-2022;Bakı Dövlət Universiteti;Turizm işinin təşkili;Qazax filialı;Azerbaijani;Q;150.0;;YES;83.9;83.9
2021-2022;Bakı Dövlət Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;375.1;YES;57.6;
2021-2022;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;245.8;438.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;193.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Biznesin idarə edilməsi;;English;Ə;435.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;İqtisadiyyat;;Azerbaijani;Ə;230.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;İqtisadiyyat;;English;Ə;395.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Marketinq;;Azerbaijani;Ə;237.5;312.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Marketinq;;English;Ə;332.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Menecment;;Azerbaijani;Ə;200.0;341.5;YES;76.7;
2021-2022;Bakı Dövlət Universiteti;Menecment;;English;Ə;356.6;;NO;;
2021-2022;Azərbaycan Texniki Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;200.0;371.0;YES;51.0;
2021-2022;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;222.1;;NO;;
2021-2022;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Ə;200.0;;YES;91.1;
2021-2022;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Ə;218.9;314.1;NO;;
2021-2022;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Ə;200.0;355.3;YES;85.1;
2021-2022;Azərbaycan Texniki Universiteti;Statistika;;Azerbaijani;Ə;200.0;328.0;YES;71.3;
2021-2022;Azərbaycan Texniki Universiteti;Nəqliyyatda servis (avtomobil nəqliyyatı üzrə);;Azerbaijani;Ə;256.3;;NO;;
2021-2022;Azərbaycan Texniki Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;219.7;;NO;;
2021-2022;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Ə;200.0;;YES;84.0;
2021-2022;Azərbaycan Texniki Universiteti;İqtisadiyyat;;Azerbaijani;Q;200.0;;YES;88.0;
2021-2022;Azərbaycan Texniki Universiteti;İqtisadiyyat;;English;Ə;200.0;;NO;;
2021-2022;Azərbaycan Texniki Universiteti;Marketinq;;Azerbaijani;Ə;211.5;310.4;NO;;
2021-2022;Azərbaycan Texniki Universiteti;Menecment;;Azerbaijani;Ə;200.0;346.0;YES;80.8;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;;Azerbaijani;Ə;200.0;288.3;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;;Azerbaijani;Ə;347.5;347.5;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Şamaxı filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Şəki filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Ağcabədi filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Tarix və coğrafiya müəllimliyi;Cəlilabad filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət Pedaqoji Universiteti;Coğrafiya müəllimliyi;Quba filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Ə;354.4;364.0;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Beynəlxalq ticarət və logistika;;Azerbaijani;Q;200.0;389.9;YES;73.0;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Beynəlxalq ticarət və logistika ;;Turkish;Ə;217.2;;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Beynəlxalq ticarət və logistika;;English;Ə;565.7;;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Ə;301.7;415.5;NO;;
2021-2022;Azərbaycan Dövlət iqtisad Universiteti;Biznesin idarə edilməsi;;Azerbaijani;Q;207.4;;NO;;
