year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2021-2022;Bakı Dövlət Universiteti;Azərbaycan dili və ədəbiyyatı müəllimliyi;;Azerbaijani;Ə;542.4;542.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Korreksiyaedici təlim;;Azerbaijani;Ə;427.8;427.8;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix müəllimliyi;;Azerbaijani;Ə;496.3;496.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Təhsildə sosial-psixoloji xidmət;;Azerbaijani;Ə;456.2;456.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Dövlət və ictimai münasiblər;;Azerbaijani;Ə;514.8;592.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Dövlət və ictimai münasiblər;;Azerbaijani;Q;463.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Dövlət və ictimai münasibətlər;;English;Ə;598.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Fəlsəfə;;Azerbaijani;Ə;404.7;404.7;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;Ə;424.9;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (Azərbaycan dili və ədəbiyyatı);;Azerbaijani;Q;363.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (ingilis dili və ədəbiyyatı);;Azerbaijani;Ə;492.8;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (fransız dili və ədəbiyyatı);;Azerbaijani;Ə;345.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (alman dili və ədəbiyyatı);;Azerbaijani;Ə;376.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (ərəb dili və ədəbiyyatı);;Azerbaijani;Ə;295.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (türk dili və ədəbiyyatı);;Azerbaijani;Ə;363.6;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya (fars dili və ədəbiyyatı);;Azerbaijani;Ə;300.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Ə;572.3;604.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Hüquqşünaslıq;;Azerbaijani;Q;533.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Hüquqşünaslıq;;English;Ə;639.9;;NO;;
2021-2022;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya fəaliyyəti;;Azerbaijani;Ə;322.5;381.6;NO;;
2021-2022;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya fəaliyyəti;;Azerbaijani;Q;309.2;387.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Kitabxanaçılıq və informasiya fəaliyyəti;;English;Ə;399.9;;NO;;
2021-2022;Bakı Dövlət Universiteti;Politologiya;;Azerbaijani;Ə;487.7;526.6;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Ə;468.8;482.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix;;Azerbaijani;Q;353.9;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix;;English;Ə;536.6;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tərcümə (ərəb dili üzrə);;Azerbaijani;Ə;315.6;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tərcümə (fars dili üzrə);;Azerbaijani;Ə;282.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosial iş;;Azerbaijani;Ə;488.4;488.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosial iş;;Azerbaijani;Q;372.4;427.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosial iş;;English;Ə;519.9;;NO;;
2021-2022;Bakı Dövlət Universiteti;Jurnalistika;;Azerbaijani;Ə;349.7;394.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Jurnalistika;;Azerbaijani;Q;311.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Jurnalistika;;English;Ə;431.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;Azərbaycan dili və ədəbiyyatı müəllimliyi;Qazax filialı;Azerbaijani;Ə;347.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;İbtidai sinif müəllimliyi;Qazax filialı;Azerbaijani;Ə;325.8;;NO;;
2021-2022;Bakı Dövlət Universiteti;Məktəbəqədər təhsil;Qazax filialı;Azerbaijani;Ə;261.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix müəllimliyi;Qazax filialı;Azerbaijani;Ə;350.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Təhsildə sosial-psixoloji xidmət;Qazax filialı;Azerbaijani;Ə;274.7;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya;Azərbaycan dili və ədəbiyyatı, Qazax filialı;Azerbaijani;Ə;288.6;;NO;;
2021-2022;Bakı Dövlət Universiteti;Filologiya;Azərbaycan dili və ədəbiyyatı, Qazax filialı;Azerbaijani;Q;284.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix;Qazax filialı;Azerbaijani;Ə;339.1;;NO;;
2021-2022;Bakı Dövlət Universiteti;Tarix;Qazax filialı;Azerbaijani;Q;286.2;;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosial iş;Qazax filialı;Azerbaijani;Ə;313.1;;NO;;
2021-2022;Bakı Dövlət Universiteti;Sosial iş;Qazax filialı;Azerbaijani;Q;277.5;;NO;;
