year;university;major;branch;language;study_form_symbol;main_min_score;main_competition_score;has_subbakalavr;sub_min_score;sub_competition_score
2021-2022;Bakı Dövlət Universiteti;Fizika müəllimliyi;;Azerbaijani;Ə;368.0;368.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Fizika müəllimliyi;;English;Ə;373.4;;NO;;
2021-2022;Bakı Dövlət Universiteti;İnformatika müəllimliyi;;Azerbaijani;Ə;280.5;290.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;Azerbaijani;Ə;505.5;505.5;NO;;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;;English;Ə;605.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Fizika;;Azerbaijani;Ə;50.7;250.7;NO;;
2021-2022;Bakı Dövlət Universiteti;Fizika;;English;Ə;319.1;;NO;;
2021-2022;Bakı Dövlət Universiteti;Geologiya;;Azerbaijani;Ə;200.0;201.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Ə;427.4;427.4;NO;;
2021-2022;Bakı Dövlət Universiteti;Kompüter elmləri;;Azerbaijani;Q;250.0;468.8;YES;77.2;
2021-2022;Bakı Dövlət Universiteti;Kompüter elmləri;;English;Ə;560.3;;NO;;
2021-2022;Bakı Dövlət Universiteti;Mexanika;;Azerbaijani;Ə;256.0;256.0;NO;;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat;;Azerbaijani;Ə;310.2;310.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat;;English;Ə;395.5;;NO;;
2021-2022;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Ə;200.0;230.8;YES;51.0;57.5
2021-2022;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;Azerbaijani;Q;200.0;309.1;YES;67.0;67.0
2021-2022;Bakı Dövlət Universiteti;Geologiya və geofizika mühəndisliyi;;English;Ə;200.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Ə;200.0;220.8;YES;51.0;
2021-2022;Bakı Dövlət Universiteti;Geomatika və geodeziya mühəndisliyi;;Azerbaijani;Q;200.0;;YES;51.0;66.4
2021-2022;Bakı Dövlət Universiteti;İnformasiya təhlükəsizliyi;;Azerbaijani;Ə;468.3;468.3;NO;;
2021-2022;Bakı Dövlət Universiteti;Kimya mühəndisliyi;;Azerbaijani;Ə;370.9;370.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Torpaqşünaslıq və aqrokimya;;Azerbaijani;Ə;270.9;270.9;NO;;
2021-2022;Bakı Dövlət Universiteti;Torpaqşünaslıq və aqrokimya;;Azerbaijani;Q;244.1;244.1;NO;;
2021-2022;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın kadastrı;;Azerbaijani;Ə;294.2;294.2;NO;;
2021-2022;Bakı Dövlət Universiteti;Yerquruluşu və daşınmaz əmlakın kadastrı;;Azerbaijani;Q;244.9;256.7;NO;;
2021-2022;Bakı Dövlət Universiteti;Fizika müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;İnformatika müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;YES;51.0;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Bakı Dövlət Universiteti;Riyaziyyat və informatika müəllimliyi;Qazax filialı;Azerbaijani;Ə;200.0;;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Geologiya;;Azerbaijani;Ə;200.0;211.2;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;Azerbaijani;Ə;503.6;503.6;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Kompüter elmləri;;English;Ə;605.9;;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;Azerbaijani;Ə;226.2;226.2;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Cihaz mühəndisliyi;;English;Ə;268.1;;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;Azerbaijani;Ə;260.6;262.1;NO;;
2021-2022;Azərbaycan Dövlət Neft və Sənaye Universiteti;Ekologiya mühəndisliyi;;English;Ə;293.4;;NO;;
